Port,Country,Region,Year,Throughput_TEU,Cargo_Tons,Vessel_Arrivals,Imports_TEU,Exports_TEU,Growth_Rate_%
Antwerp,Belgium,Europe,2015,26783250,386927190,43092,11495461,15287788,-0.08
Shenzhen,China,Asia,2007,31884164,681560022,38687,15183879,16700284,7.23
Qingdao,China,Asia,2003,43799331,861536532,28704,17727484,26071846,-3.64
Busan,South Korea,Asia,2005,16861743,374959769,29465,9580585,7281157,5.94
Busan,South Korea,Asia,2011,11380798,151620860,19470,5777635,5603162,4.61
Los Angeles,USA,North America,2024,26133380,604615491,46930,15384345,10749034,-3.33
Busan,South Korea,Asia,2000,50874334,706122932,21226,25489727,25384606,7.72
Shenzhen,China,Asia,2001,29345877,365972729,40314,13315402,16030474,0.91
Shanghai,China,Asia,2024,41027571,780858539,38906,23016612,18010958,1.29
Busan,South Korea,Asia,2017,34387866,800209932,27412,16703734,17684131,-1.9
Shanghai,China,Asia,2015,26767749,606391344,23965,15549948,11217800,0.79
Shanghai,China,Asia,2010,54365176,844608805,34796,28625190,25739985,11.59
Singapore,Singapore,Asia,2005,38692269,586489815,20807,19667328,19024940,9.34
Antwerp,Belgium,Europe,2002,54058009,744236936,23786,29757879,24300129,9.69
Dubai,UAE,Middle East,2021,6612850,77276076,32745,2947226,3665623,8.98
Shenzhen,China,Asia,2020,34501881,610622436,35274,14923113,19578767,9.52
Shanghai,China,Asia,2009,24145626,282554640,22312,11682857,12462768,-1.7
Rotterdam,Netherlands,Europe,2017,5346990,118358246,28996,2985067,2361922,4.88
Hamburg,Germany,Europe,2007,20050793,215565432,40540,11140158,8910634,3.38
Rotterdam,Netherlands,Europe,2013,8213274,190093841,36467,3333729,4879544,-1.97
Qingdao,China,Asia,2022,9030272,173558367,34070,5260106,3770165,-0.48
Shenzhen,China,Asia,2017,14745350,163047803,36365,8843132,5902217,-1
Antwerp,Belgium,Europe,2021,26973350,273014078,34474,13700389,13272960,-2.81
Hamburg,Germany,Europe,2015,26955282,547297653,47634,13800528,13154753,0.12
Shenzhen,China,Asia,2016,8967445,102588505,42624,4546137,4421307,-1.62
Los Angeles,USA,North America,2011,9846936,202115298,13952,4055576,5791359,0.19
Rotterdam,Netherlands,Europe,2001,8981917,160905356,31292,3607400,5374516,-1.38
Singapore,Singapore,Asia,2016,54734045,572249295,18507,25017895,29716149,9.35
Shenzhen,China,Asia,2019,7328481,103331092,16840,3357386,3971094,0.06
Los Angeles,USA,North America,2004,43387539,583449185,33925,18645122,24742416,2.76
Los Angeles,USA,North America,2001,52633086,713848956,20518,31286860,21346225,-4.76
Qingdao,China,Asia,2017,50930676,624600555,29207,26751284,24179391,-2.51
Antwerp,Belgium,Europe,2009,27312344,611192739,47594,14547361,12764982,0.81
Shenzhen,China,Asia,2020,51076451,1074374754,15443,25105563,25970887,-0.6
Rotterdam,Netherlands,Europe,2012,17949507,255528403,27942,8317244,9632262,7.33
Shanghai,China,Asia,2022,19154683,455362313,25748,11411808,7742874,9.96
Qingdao,China,Asia,2017,10443961,122023230,19481,4193843,6250117,7.8
Los Angeles,USA,North America,2022,23142574,233380586,39894,11259331,11883242,3.56
Busan,South Korea,Asia,2019,36352046,553538771,29675,19245283,17106762,2.89
Hamburg,Germany,Europe,2005,29982913,333159072,23429,13280842,16702070,3.78
Singapore,Singapore,Asia,2021,47818287,1181408898,13280,22742074,25076212,2.88
Hamburg,Germany,Europe,2013,40044928,573570692,10868,16511660,23533267,11.3
Singapore,Singapore,Asia,2016,11516682,157139677,33580,6265818,5250863,4
Busan,South Korea,Asia,2009,31940172,611842996,38006,18092433,13847738,-0.16
Shenzhen,China,Asia,2012,5855243,144530494,10824,3453503,2401739,-3.67
Busan,South Korea,Asia,2012,42065372,953648800,21183,17002251,25063120,5.27
Qingdao,China,Asia,2006,42894447,810590946,19695,19648183,23246263,8.37
Singapore,Singapore,Asia,2004,26490902,430368082,25977,14977444,11513457,-3.33
Shanghai,China,Asia,2002,47179034,990779657,17965,27670910,19508123,-0.78
Shanghai,China,Asia,2009,45814035,805012833,46996,25530264,20283770,9.99
Busan,South Korea,Asia,2007,22419248,456467448,12708,11932570,10486677,7.07
Shenzhen,China,Asia,2000,12346585,288477101,35255,6147580,6199004,0.29
Shanghai,China,Asia,2010,19260288,207433601,44063,9061718,10198569,7.12
Shanghai,China,Asia,2009,6706722,89312403,11620,3226475,3480246,0.73
Dubai,UAE,Middle East,2012,32010577,522317796,36171,13960804,18049772,1.91
Los Angeles,USA,North America,2023,46893415,933040178,49489,19956428,26936986,7.56
Shanghai,China,Asia,2005,7141549,169406665,37453,2935230,4206318,-1.82
Qingdao,China,Asia,2003,34518630,753165916,31793,17191810,17326819,1.09
Singapore,Singapore,Asia,2003,44231026,604091471,16822,24214077,20016948,6.9
Antwerp,Belgium,Europe,2020,50618794,1244152669,18097,28956458,21662335,6.69
Los Angeles,USA,North America,2024,17700198,289329787,45421,7333202,10366995,1.62
Dubai,UAE,Middle East,2002,5605599,83828440,25245,2721106,2884492,-1.03
Busan,South Korea,Asia,2012,19799847,244995607,27729,8338604,11461242,6.3
Hamburg,Germany,Europe,2009,54034818,1189422109,11740,28130567,25904250,8.65
Rotterdam,Netherlands,Europe,2023,29299863,513207922,40921,12267664,17032198,3.63
Singapore,Singapore,Asia,2020,48377014,1051519734,27776,28902052,19474961,0.41
Dubai,UAE,Middle East,2022,53524640,665227463,40383,23817252,29707387,3.83
Shenzhen,China,Asia,2014,36986409,870358021,36918,19541219,17445189,8.89
Dubai,UAE,Middle East,2008,26490505,610763457,11922,10804168,15686336,0.19
Shenzhen,China,Asia,2012,29670251,394300701,42210,14569982,15100268,6.87
Shenzhen,China,Asia,2021,37317460,611070743,13201,22002772,15314687,-3.83
Hamburg,Germany,Europe,2019,8413553,125240868,26720,3491055,4922497,10.55
Rotterdam,Netherlands,Europe,2017,32573471,471358902,11408,18472876,14100594,11.44
Rotterdam,Netherlands,Europe,2012,33239278,754473828,40105,16965448,16273829,-1.07
Busan,South Korea,Asia,2018,8171050,130840396,26878,4544301,3626748,-1.34
Busan,South Korea,Asia,2023,18655434,441653838,17253,11065801,7589632,11.01
Shenzhen,China,Asia,2023,39509372,478599114,48485,22596717,16912654,-0.62
Antwerp,Belgium,Europe,2012,48997361,856609365,47170,22263036,26734324,-2.12
Shenzhen,China,Asia,2017,11701828,162766597,39049,5469011,6232816,4.43
Shenzhen,China,Asia,2005,30238671,359384100,19290,16620152,13618518,2.98
Dubai,UAE,Middle East,2005,33731666,643235571,30138,13616500,20115165,0.3
Antwerp,Belgium,Europe,2005,12417155,209377132,48622,6665590,5751564,-0.49
Shenzhen,China,Asia,2021,47603006,934751600,28280,27921820,19681185,0.87
Busan,South Korea,Asia,2001,37134370,805579904,29659,16691944,20442425,-3.65
Shanghai,China,Asia,2015,12560116,299922628,10886,6847200,5712915,6.17
Singapore,Singapore,Asia,2010,54097994,1206788116,31395,24528808,29569185,3.11
Shanghai,China,Asia,2010,29627489,374325457,33546,15888115,13739373,4.07
Singapore,Singapore,Asia,2007,34074829,849396590,11780,16425901,17648927,-3.19
Dubai,UAE,Middle East,2011,47951048,979861027,33660,19681465,28269582,-3.38
Qingdao,China,Asia,2003,32858292,432657306,19984,13274827,19583464,-0.7
Singapore,Singapore,Asia,2012,20985928,371670486,49227,12279922,8706005,5.97
Rotterdam,Netherlands,Europe,2003,15956096,347415983,22439,6799985,9156110,6.49
Busan,South Korea,Asia,2024,41179145,600070620,20886,21620793,19558351,11.77
Qingdao,China,Asia,2003,27042103,606394915,40279,11266831,15775271,-0.01
Dubai,UAE,Middle East,2022,14793227,152848790,26473,6995450,7797776,1
Shenzhen,China,Asia,2020,33527485,574367511,28414,16723423,16804061,8.46
Singapore,Singapore,Asia,2011,36703032,791575785,49809,17686052,19016979,10.22
Shanghai,China,Asia,2004,52852137,1255044436,26995,21298882,31553254,10.13
Hamburg,Germany,Europe,2008,52028309,612642703,34911,29749645,22278663,11.86
Busan,South Korea,Asia,2009,35573044,718897711,33924,20262204,15310839,1.25
Rotterdam,Netherlands,Europe,2024,21206833,225891870,25304,12609134,8597698,-4.05
Hamburg,Germany,Europe,2013,20692846,501673251,33437,10277356,10415489,0.71
Hamburg,Germany,Europe,2005,46646052,1060522140,45744,23878812,22767239,6.31
Shenzhen,China,Asia,2006,26584360,522548241,40215,10817196,15767163,-0.1
Shenzhen,China,Asia,2017,43926136,612789552,47569,19868887,24057248,3.44
Shenzhen,China,Asia,2010,13222496,277884896,30637,6407294,6815201,4.62
Los Angeles,USA,North America,2004,39488103,817876795,16617,17998410,21489692,-1.93
Hamburg,Germany,Europe,2015,31394957,780415168,30890,17071993,14322963,7.4
Shenzhen,China,Asia,2008,11416153,256450604,12124,6262286,5153866,2.04
Rotterdam,Netherlands,Europe,2011,54432820,1303618813,10997,32262161,22170658,10.47
Busan,South Korea,Asia,2015,12287613,128483620,39751,4960112,7327500,-2.83
Antwerp,Belgium,Europe,2018,16983517,284855004,39665,7690003,9293513,11.11
Singapore,Singapore,Asia,2015,50230036,517728829,49776,26261174,23968861,4.04
Rotterdam,Netherlands,Europe,2015,37292507,734942700,48440,20707808,16584698,0.29
Shanghai,China,Asia,2000,42358719,994250738,17897,20948871,21409847,6.51
Hamburg,Germany,Europe,2015,27446669,660882412,28268,11416379,16030289,9.23
Antwerp,Belgium,Europe,2019,20036750,328825595,17235,9095867,10940882,3.69
Singapore,Singapore,Asia,2024,31762333,638127636,33401,13760716,18001616,0.94
Shenzhen,China,Asia,2009,33797372,744356198,27715,20127513,13669858,8.37
Los Angeles,USA,North America,2009,18331521,183366133,29995,9405743,8925777,7.16
Hamburg,Germany,Europe,2001,34455277,414782694,44890,17695045,16760231,9.14
Hamburg,Germany,Europe,2008,29710820,672779409,23665,14768326,14942493,9.11
Hamburg,Germany,Europe,2018,48618243,908792264,19638,22481088,26137154,10.47
Rotterdam,Netherlands,Europe,2021,53776879,715232064,48381,28774980,25001898,0.5
Hamburg,Germany,Europe,2024,27808994,413714234,16928,15893707,11915286,10.26
Singapore,Singapore,Asia,2024,34476324,474176840,22582,16366881,18109442,0.66
Dubai,UAE,Middle East,2015,9927386,170248340,48046,4600496,5326889,10.97
Rotterdam,Netherlands,Europe,2011,35471747,758822201,17189,19360718,16111028,10.77
Singapore,Singapore,Asia,2010,50460599,509872250,10244,21201597,29259001,-0.58
Shenzhen,China,Asia,2007,18117447,341948510,44678,9914164,8203282,-2.41
Qingdao,China,Asia,2012,14324118,267727733,38670,7655479,6668638,-4.91
Shanghai,China,Asia,2001,24246700,582944533,20346,11207763,13038936,8.09
Antwerp,Belgium,Europe,2005,5346300,133114267,35920,2378993,2967306,4.49
Antwerp,Belgium,Europe,2010,47847930,562167458,29324,19148196,28699733,7.87
Busan,South Korea,Asia,2024,47409036,801359641,29076,23379957,24029078,3.7
Busan,South Korea,Asia,2001,48481708,621337746,21573,24500414,23981293,0.38
Qingdao,China,Asia,2017,32905787,389011278,17386,14137207,18768579,6.12
Los Angeles,USA,North America,2019,14255180,301406262,13042,8251053,6004126,10.92
Dubai,UAE,Middle East,2021,42034501,611846390,28261,17898325,24136175,3.89
Singapore,Singapore,Asia,2006,47801794,663900093,48121,19323132,28478661,0.92
Antwerp,Belgium,Europe,2014,10600350,111101767,38365,4275989,6324360,5.51
Busan,South Korea,Asia,2018,40439056,798823438,25398,17481132,22957923,1.32
Qingdao,China,Asia,2013,38604704,627091530,37408,17778177,20826526,-0.43
Singapore,Singapore,Asia,2019,40142753,695741783,30886,18768792,21373960,6.95
Los Angeles,USA,North America,2014,53104371,962460005,23986,24636372,28467998,-2.15
Shanghai,China,Asia,2012,24320466,347122167,49950,12121887,12198578,-3.4
Hamburg,Germany,Europe,2016,42729297,906080190,25802,17896827,24832469,7.82
Singapore,Singapore,Asia,2000,52860175,1234813695,10362,21915493,30944681,8.96
Antwerp,Belgium,Europe,2001,18026765,184475785,49963,8778319,9248445,-1.59
Antwerp,Belgium,Europe,2008,16285878,275309849,44275,8098793,8187084,5.63
Antwerp,Belgium,Europe,2019,34095981,631029538,46695,15734835,18361145,-0.1
Antwerp,Belgium,Europe,2022,41107972,656242651,25123,22854541,18253430,8.33
Antwerp,Belgium,Europe,2024,10719347,170123233,36129,4668129,6051217,3.12
Busan,South Korea,Asia,2023,37309275,606493177,35339,17656548,19652726,2.38
Qingdao,China,Asia,2024,14616994,267534304,38646,8267545,6349448,2
Los Angeles,USA,North America,2023,7631550,153519986,26462,3578528,4053021,3.47
Los Angeles,USA,North America,2024,19021057,196257053,25816,9417784,9603272,2.21
Rotterdam,Netherlands,Europe,2020,51761486,1109755306,47450,27191796,24569689,7.37
Rotterdam,Netherlands,Europe,2015,12519270,226332762,13856,5949056,6570213,5.88
Busan,South Korea,Asia,2002,28116594,321885999,29416,12012722,16103871,5.72
Shanghai,China,Asia,2003,39804465,928623840,21055,19591126,20213338,7.64
Dubai,UAE,Middle East,2020,51988442,676989459,20866,28245878,23742563,5.16
Antwerp,Belgium,Europe,2019,36614514,542698025,43220,21690274,14924239,7.29
Hamburg,Germany,Europe,2014,45145148,877636310,11942,25743635,19401512,6.58
Hamburg,Germany,Europe,2001,5866525,138422494,27878,3168175,2698349,3.54
Busan,South Korea,Asia,2000,14687580,166978288,34086,6706195,7981384,-0.95
Antwerp,Belgium,Europe,2021,30642868,557213802,24568,16376250,14266617,5.32
Shanghai,China,Asia,2011,24889427,440265686,26676,12888409,12001017,6.01
Rotterdam,Netherlands,Europe,2005,15714924,176913676,14860,7331555,8383368,9.13
Hamburg,Germany,Europe,2011,39724457,524764315,16955,18562528,21161928,7.35
Qingdao,China,Asia,2008,21424403,455288271,14250,12786790,8637612,-4.66
Singapore,Singapore,Asia,2020,17506080,418257705,48187,8413035,9093044,10.9
Singapore,Singapore,Asia,2022,46921847,1098808706,16858,20768177,26153669,-0.39
Hamburg,Germany,Europe,2015,49377132,1191717941,46075,24402996,24974135,1.77
Shenzhen,China,Asia,2011,7763357,122373119,38457,4315019,3448337,7.22
Qingdao,China,Asia,2019,12265584,275396023,29968,6869734,5395849,4.94
Shenzhen,China,Asia,2014,16774646,400627860,42152,7075545,9699100,-3.16
Dubai,UAE,Middle East,2005,26077014,634525869,39389,11180215,14896798,3.88
Los Angeles,USA,North America,2010,22593676,421499213,12037,11224714,11368961,11.63
Busan,South Korea,Asia,2016,9236901,209533506,36250,5210771,4026129,-2.82
Los Angeles,USA,North America,2001,49396860,1030570330,19522,22087184,27309675,10.44
Shenzhen,China,Asia,2011,37913291,548347564,34276,16627274,21286016,1.62
Antwerp,Belgium,Europe,2010,27469399,471598931,32560,12036044,15433354,4.4
Shanghai,China,Asia,2013,15721869,256851023,27765,6916767,8805101,-0.88
Shenzhen,China,Asia,2000,21381304,371398304,41889,11597490,9783813,4.86
Antwerp,Belgium,Europe,2001,33726098,421448546,34430,19676333,14049764,11.97
Busan,South Korea,Asia,2022,11633381,245377691,43064,4983883,6649497,6.98
Shanghai,China,Asia,2001,20965527,281089982,34647,10570782,10394744,3.29
Busan,South Korea,Asia,2000,12429174,177365753,15069,7012814,5416359,2.4
Rotterdam,Netherlands,Europe,2004,26185637,518250320,17975,10999892,15185744,5.77
Antwerp,Belgium,Europe,2018,24492582,530550582,46000,9807520,14685061,1.46
Qingdao,China,Asia,2013,48639395,925278281,48523,20666930,27972464,11.5
Los Angeles,USA,North America,2008,52455102,890255563,13970,27187579,25267522,5.76
Singapore,Singapore,Asia,2003,11514329,252531444,23057,6421729,5092599,7.04
Los Angeles,USA,North America,2008,16522730,386659177,28799,7040188,9482541,11.59
Hamburg,Germany,Europe,2004,49825800,1103150308,21412,25364948,24460851,-4.13
Shenzhen,China,Asia,2018,27900904,446398612,19191,13965182,13935721,3.36
Shanghai,China,Asia,2005,16178487,258710588,33792,9619655,6558831,-2.4
Hamburg,Germany,Europe,2021,51044202,977633197,26040,28520615,22523586,8.35
Shanghai,China,Asia,2019,7095383,91552795,41276,3828380,3267002,-3.6
Busan,South Korea,Asia,2005,44132518,738045695,14595,24243990,19888527,9.4
Busan,South Korea,Asia,2004,25625068,640382595,29405,12668712,12956355,10.43
Antwerp,Belgium,Europe,2023,8156390,134535682,14899,3824413,4331976,6.79
Los Angeles,USA,North America,2005,22637729,278675987,28269,12297237,10340491,1.7
Antwerp,Belgium,Europe,2013,36059880,386708976,31649,18752449,17307430,-0.17
Hamburg,Germany,Europe,2024,13242909,189983620,23644,5680818,7562090,4.89
Qingdao,China,Asia,2012,38702820,691958312,17240,15611225,23091594,3.84
Rotterdam,Netherlands,Europe,2022,24939319,407990866,21103,13958516,10980802,3.91
Singapore,Singapore,Asia,2014,43882999,888177560,18701,23818942,20064056,2.4
Shanghai,China,Asia,2021,18502619,323443458,45247,8716349,9786269,-0.72
Rotterdam,Netherlands,Europe,2006,21580252,350041868,34644,8845518,12734733,9.43
Shenzhen,China,Asia,2007,13820939,268323829,45481,5918585,7902353,-4.57
Shanghai,China,Asia,2019,32446927,391502172,29930,14059549,18387377,3.99
Los Angeles,USA,North America,2007,37788758,397763493,40832,16742087,21046670,-3.88
Qingdao,China,Asia,2022,9004168,148352603,27974,4753412,4250755,-3.86
Hamburg,Germany,Europe,2024,44437849,555783566,17240,24709748,19728100,0.61
Dubai,UAE,Middle East,2023,51934024,943277679,29355,23099279,28834744,11
Los Angeles,USA,North America,2005,54343683,895805037,49377,31136277,23207405,2.57
Dubai,UAE,Middle East,2020,54179195,1158454787,15774,25986020,28193174,0.14
Los Angeles,USA,North America,2020,15771600,158466956,45985,8083431,7688168,3.14
Los Angeles,USA,North America,2011,18376714,202073219,42368,10170696,8206017,10.39
Rotterdam,Netherlands,Europe,2020,31003478,540044829,34914,13389056,17614421,2.4
Busan,South Korea,Asia,2018,14846358,278380992,19638,6155453,8690904,1.43
Singapore,Singapore,Asia,2000,37138462,912472027,15267,14920985,22217476,-1.76
Los Angeles,USA,North America,2021,13539016,241972695,37326,6590985,6948030,10.78
Singapore,Singapore,Asia,2013,33888314,489754018,20375,15079453,18808860,-0.38
Antwerp,Belgium,Europe,2013,15187823,217291842,21424,7225902,7961920,10.2
Singapore,Singapore,Asia,2016,30742387,551722052,33465,13287143,17455243,0.46
Rotterdam,Netherlands,Europe,2014,52859973,975076954,44744,26383001,26476971,-4.7
Los Angeles,USA,North America,2019,40510115,460437672,37463,17773410,22736704,-1.46
Shanghai,China,Asia,2012,11483999,150626876,28300,6805101,4678897,-4.59
Hamburg,Germany,Europe,2014,13058430,180808117,44404,6775030,6283399,8.62
Qingdao,China,Asia,2023,43892571,1014552567,27215,25748574,18143996,3.46
Hamburg,Germany,Europe,2007,50217239,1182196198,11286,26651322,23565916,9.25
Los Angeles,USA,North America,2021,27342207,473866942,37086,12139300,15202906,1.26
Busan,South Korea,Asia,2024,32680872,783737491,48174,17979782,14701089,-0.49
Shanghai,China,Asia,2017,20796444,359275830,38088,12249594,8546849,-1.35
Singapore,Singapore,Asia,2021,8559976,145984631,34408,5123299,3436676,6.55
Singapore,Singapore,Asia,2006,31218057,707600810,27158,15588573,15629483,5.2
Busan,South Korea,Asia,2014,37510185,529633417,11404,19241361,18268823,3
Shenzhen,China,Asia,2016,35271732,623855376,34175,18263305,17008426,-2.63
Shenzhen,China,Asia,2023,36168629,743944951,16086,21042094,15126534,-1.34
Shanghai,China,Asia,2019,22172678,226376960,12822,10807514,11365163,6.99
Hamburg,Germany,Europe,2007,22300102,422964640,39672,13176443,9123658,-0.8
Los Angeles,USA,North America,2016,13367568,154531583,49536,7610749,5756818,0.25
Los Angeles,USA,North America,2009,19073601,463993541,38173,10723582,8350018,9.93
Antwerp,Belgium,Europe,2011,10197535,175074951,33405,4835080,5362454,-1.87
Singapore,Singapore,Asia,2002,45797952,639116459,23117,19200759,26597192,5.02
Hamburg,Germany,Europe,2013,34332641,718153445,41695,14530814,19801826,4.44
Qingdao,China,Asia,2005,53327025,1142855461,45383,21731360,31595664,-0.15
Busan,South Korea,Asia,2003,52908590,819372729,18273,28346052,24562537,-1.07
Busan,South Korea,Asia,2009,14534473,296595816,36913,6294998,8239474,7.43
Shanghai,China,Asia,2000,43657987,798611777,35743,24905705,18752281,7.86
Singapore,Singapore,Asia,2024,34235122,589919176,23207,17024503,17210618,-1.18
Dubai,UAE,Middle East,2012,44302845,849274941,18031,22387488,21915356,2.68
Rotterdam,Netherlands,Europe,2005,14255211,320433208,17535,6988121,7267089,-4.74
Los Angeles,USA,North America,2009,43015177,790037017,30943,18531589,24483587,5.99
Dubai,UAE,Middle East,2013,52084084,556044145,43716,31009137,21074946,7.58
Shanghai,China,Asia,2018,50172091,976433982,39376,21248880,28923210,11.12
Singapore,Singapore,Asia,2024,53785647,1101244979,18990,23690137,30095509,-1.36
Los Angeles,USA,North America,2014,22535118,497920851,48419,12593357,9941760,-1.56
Singapore,Singapore,Asia,2002,26670920,549460404,36008,14238703,12432216,5.75
Qingdao,China,Asia,2019,34454394,714650098,17061,17289788,17164605,2.37
Dubai,UAE,Middle East,2007,29473802,591686305,31685,13845040,15628761,7.98
Shanghai,China,Asia,2021,37070617,599140462,33711,15323488,21747128,11.02
Hamburg,Germany,Europe,2022,49853089,546323541,23647,27682337,22170751,5.13
Dubai,UAE,Middle East,2010,37254457,571697078,16818,21109935,16144521,7
Rotterdam,Netherlands,Europe,2012,20026292,260852455,48881,8550106,11476185,1.94
Busan,South Korea,Asia,2008,47783311,947427524,17704,19358283,28425027,10.72
Qingdao,China,Asia,2005,42078132,1032538833,21390,17854785,24223346,1.18
Dubai,UAE,Middle East,2017,33738477,740554543,25624,17375001,16363475,10.13
Dubai,UAE,Middle East,2014,32902387,347988301,22647,16262781,16639605,9.77
Rotterdam,Netherlands,Europe,2004,21377053,244926948,37215,11062262,10314790,10.11
Singapore,Singapore,Asia,2014,34005581,703211435,23500,16152409,17853171,5.64
Antwerp,Belgium,Europe,2004,30164700,553581843,25472,16672042,13492657,3.68
Rotterdam,Netherlands,Europe,2021,35976311,542988079,39656,19232344,16743966,2.35
Qingdao,China,Asia,2017,36932914,482928371,42735,18651877,18281036,1.27
Shenzhen,China,Asia,2017,35474192,881675021,28953,19436923,16037268,-0.79
Rotterdam,Netherlands,Europe,2005,43091661,1033442562,49410,20992881,22098779,4.45
Los Angeles,USA,North America,2015,37015507,655351781,42939,20402339,16613167,5.96
Shanghai,China,Asia,2001,12596477,174504879,14076,5270104,7326372,9.19
Los Angeles,USA,North America,2023,17172207,308599618,38400,8567619,8604587,-2.76
Hamburg,Germany,Europe,2024,19970770,353797142,16953,11143162,8827607,6.16
Los Angeles,USA,North America,2003,28759876,356783906,21094,13888263,14871612,9.32
Hamburg,Germany,Europe,2010,50934221,1125824055,44072,29441152,21493068,9.6
Singapore,Singapore,Asia,2009,51371014,576503481,42683,23372869,27998144,7.19
Singapore,Singapore,Asia,2011,5645452,91550708,49281,3200377,2445074,2.14
Los Angeles,USA,North America,2002,30687139,704403176,35727,14932854,15754284,-1.74
Dubai,UAE,Middle East,2005,50544667,1156191142,14511,20247816,30296850,-0.87
Qingdao,China,Asia,2010,37259441,882176852,48394,21827447,15431993,-1.22
Qingdao,China,Asia,2019,16690075,175068260,18027,9766166,6923908,-2.23
Shenzhen,China,Asia,2013,17503969,398991450,43297,8383657,9120311,7.65
Singapore,Singapore,Asia,2010,8565117,134324538,41007,3682158,4882958,4.81
Hamburg,Germany,Europe,2009,5397046,85493541,30946,2330183,3066862,10.69
Shenzhen,China,Asia,2023,18673209,449331370,45123,8653029,10020179,6.97
Busan,South Korea,Asia,2005,42682173,805961185,31311,19635724,23046448,1.8
Antwerp,Belgium,Europe,2023,33058883,395413919,36008,17708937,15349945,6.23
Antwerp,Belgium,Europe,2008,18189902,312939144,25976,10316194,7873707,7.84
Rotterdam,Netherlands,Europe,2014,14536164,201437175,14090,7364109,7172054,-2.66
Shenzhen,China,Asia,2018,14816702,197585096,19034,8737871,6078830,5.91
Rotterdam,Netherlands,Europe,2002,44773329,687483514,44451,20064475,24708853,9.91
Qingdao,China,Asia,2014,10484180,250164770,33027,4599359,5884820,10.16
Hamburg,Germany,Europe,2017,20656150,219576661,48000,10263928,10392221,2.83
Singapore,Singapore,Asia,2003,42621952,724111130,49008,24133633,18488318,-4.74
Shanghai,China,Asia,2006,5203474,84481884,30373,2179391,3024082,-0.46
Busan,South Korea,Asia,2011,46621466,1143459947,41913,25134939,21486526,10.71
Antwerp,Belgium,Europe,2008,43652577,738476174,16820,20834637,22817939,1.91
Antwerp,Belgium,Europe,2000,37042513,786846015,27952,21231600,15810912,-2.75
Shenzhen,China,Asia,2009,29177315,476593399,26388,13843350,15333964,-3.16
Hamburg,Germany,Europe,2016,32230555,738683735,16500,17089879,15140675,-1.24
Dubai,UAE,Middle East,2020,21884214,386022978,11300,12743601,9140612,1.26
Shenzhen,China,Asia,2001,19397197,425308991,47153,9342550,10054646,-0.34
Rotterdam,Netherlands,Europe,2012,23674894,372271506,17925,11326209,12348684,10.38
Singapore,Singapore,Asia,2018,19282774,379872408,41622,10777344,8505429,-4.32
Rotterdam,Netherlands,Europe,2014,13665394,333021973,34583,5496350,8169043,-3.98
Busan,South Korea,Asia,2013,45571791,1053840485,35093,21446306,24125484,11.48
Rotterdam,Netherlands,Europe,2014,20608476,450089161,22699,9448121,11160354,6.15
Shenzhen,China,Asia,2000,11658187,216174008,23324,6565213,5092973,1.86
Dubai,UAE,Middle East,2023,19727316,257875925,16450,10440691,9286624,-4.41
Dubai,UAE,Middle East,2005,17581960,281084990,33225,8820331,8761628,1.98
Singapore,Singapore,Asia,2023,39555210,587776243,18382,17105488,22449721,0.27
Shenzhen,China,Asia,2023,27191967,674078386,25510,11509831,15682135,-1.52
Dubai,UAE,Middle East,2022,33895536,577553975,27579,13654669,20240866,8.3
Qingdao,China,Asia,2020,29792335,570302061,26555,14500198,15292136,-0.93
Dubai,UAE,Middle East,2010,34564878,438784099,21564,20456399,14108478,-3.78
Hamburg,Germany,Europe,2014,54689709,1231720389,13685,27716269,26973439,-3.95
Dubai,UAE,Middle East,2018,11208623,217323941,23888,6093021,5115601,11.04
Shenzhen,China,Asia,2013,17461289,329960594,11532,9080633,8380655,11.61
Qingdao,China,Asia,2014,26701522,346895628,19652,13719599,12981922,1.5
Antwerp,Belgium,Europe,2007,18912274,214842133,46509,11040617,7871656,6.66
Shenzhen,China,Asia,2011,38865726,509187637,17588,20385530,18480195,-1.79
Busan,South Korea,Asia,2020,15257668,264276577,47550,7666774,7590893,5.56
Dubai,UAE,Middle East,2000,27930517,693225092,38702,13616068,14314448,-0.65
Los Angeles,USA,North America,2020,42457291,876989936,43471,24086817,18370473,-0.77
Shanghai,China,Asia,2015,28827633,473963237,25582,13179535,15648097,2.26
Shenzhen,China,Asia,2022,43338309,886190668,17222,21006822,22331486,6.94
Rotterdam,Netherlands,Europe,2005,11167324,218288359,14544,4713920,6453403,5.67
Rotterdam,Netherlands,Europe,2018,48877102,827050316,38543,28116097,20761004,2.86
Rotterdam,Netherlands,Europe,2005,13644157,315368017,34091,6394616,7249540,6.36
Los Angeles,USA,North America,2010,46362036,707816406,11725,21757711,24604324,5.13
Qingdao,China,Asia,2020,11584016,272527010,21078,6720250,4863765,4.69
Qingdao,China,Asia,2024,44545735,628965875,38946,23273483,21272251,2.45
Busan,South Korea,Asia,2022,26150763,525970051,25797,15070917,11079845,4.06
Shenzhen,China,Asia,2015,8795627,175607413,27142,3762374,5033252,0.1
Hamburg,Germany,Europe,2002,50052110,684171804,21885,21496023,28556086,6.8
Los Angeles,USA,North America,2007,20208735,262631260,24758,10569680,9639054,-4.19
Busan,South Korea,Asia,2021,34334386,646002700,40932,16996157,17338228,-1.19
Singapore,Singapore,Asia,2022,22331916,227070689,25496,9521599,12810316,6.29
